Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Karolina       Kavaliauskaite 9         8         6         1         5         5         4         1         10        3         2         8         8         4         4         4         
Arvydas        Navickas       5         6         4         1         5         3         3         6         2         4         3         6         8         3         8         2         
Karolina       Pociute        2         6         2         4         5         4         4         3         8         9         2         9         4         7         8         2         
Jokubas        Sadauskas      7         4         7         10        1         9         10        1         1         7         3         5         4         10        1         8         
Nojus          Petrauskas     10        1         5         1         9         10        4         10        2         1         7         2         6         3         5         4         
Matas          Butkus         5         7         10        1         2         9         4         10        1         7         9         1         5         9         10        4         
Matas          Kazlauskas     4         8         5         2         9         5         1         2         5         1         3         3         3         8         4         5         
Sandra         Balciunaite    9         6         3         3         3         6         10        3         10        6         7         4         8         2         10        6         
Ieva           Lukoseviciute  5         7         4         4         6         8         9         7         6         10        9         3         6         2         2         4         
Tomas          Sadauskas      9         2         2         5         5         5         4         2         2         2         8         10        3         7         1         8         
Aleksandra     Lukoseviciute  3         2         4         6         6         2         7         4         6         8         10        5         8         10        3         5         
Aleksandra     Leonaviciute   4         9         2         4         7         8         1         10        6         2         6         2         8         9         5         7         
Karolina       Lukoseviciute  4         8         5         9         1         2         6         5         9         10        9         2         10        10        9         7         
Gija           Vasiliauskaite 6         8         2         2         10        2         10        7         5         6         4         3         6         5         4         7         
Tomas          Navickas       9         10        4         2         8         10        5         6         6         9         9         4         2         4         2         7         
Robertas       Butkus         10        5         3         10        5         2         1         4         3         5         6         3         5         9         3         2         
Arvydas        Butkus         10        3         4         1         7         5         9         5         7         3         4         9         7         2         1         5         
Augustas       Kavaliauskas   9         7         4         2         6         10        3         2         9         10        1         5         6         6         8         9         
Deivydas       Sadauskas      9         10        8         6         3         1         1         8         1         9         10        1         4         8         3         7         
Gija           Kavaliauskaite 3         6         3         8         5         6         2         8         6         5         9         9         8         4         5         3         
Guoste         Balciunaite    10        10        10        5         10        3         4         6         10        1         7         1         7         6         3         4         
Robertas       Kazlauskas     5         1         4         4         4         2         7         8         10        4         5         10        3         10        1         6         
Liepa          Butkute        8         4         3         2         9         4         10        2         9         10        4         6         9         3         9         10        
Vita           Kavaliauskaite 7         9         1         3         5         6         3         1         1         2         7         10        9         6         5         10        
Vita           Vasiliauskaite 7         9         2         3         4         4         2         3         7         6         7         1         8         2         2         7         
Patricija      Jankauskaite   9         8         8         9         4         10        10        1         3         4         8         7         3         5         9         3         
Liepa          Pociute        8         7         5         9         8         2         4         9         5         5         6         10        7         3         1         1         
Arvydas        Mazeika        5         9         2         6         6         4         5         1         10        8         9         3         3         9         7         6         
Gija           Pociute        5         2         1         1         1         7         9         3         9         1         6         8         6         4         2         2         
Arnas          Butkus         3         8         10        2         4         8         3         5         1         2         1         9         8         8         2         8         
Jokubas        Navickas       2         9         3         10        7         8         5         7         2         9         4         8         6         10        1         9         
Patricija      Lukoseviciute  2         1         10        2         5         5         6         5         6         5         2         1         2         4         1         4         
Gija           Butkute        3         1         1         6         2         3         3         4         3         3         7         5         1         2         8         7         
Arvydas        Kazlauskas     6         9         2         2         2         6         7         5         9         3         4         10        5         9         5         5         
Karolina       Jankauskaite   8         5         6         6         4         6         6         8         8         10        9         9         3         4         3         5         
Matas          Jankauskas     6         9         9         3         4         9         7         9         4         4         9         2         1         5         4         1         
Smilte         Kavaliauskaite 5         3         10        5         9         10        8         8         6         8         9         10        8         2         10        9         
Jokubas        Navickas       4         3         6         10        3         9         9         4         3         6         7         5         8         4         1         4         
Gija           Lukoseviciute  8         6         9         7         8         1         8         7         5         5         9         4         5         4         3         3         
Matas          Mazeika        3         5         10        3         1         7         8         9         8         10        6         4         8         2         4         4         
Gija           Balciunaite    4         10        8         10        4         7         6         5         5         7         10        3         10        5         8         1         
Arvydas        Sadauskas      7         6         7         10        7         10        5         6         10        4         5         6         10        9         7         10        
Matas          Adomaitis      1         1         2         7         7         1         4         2         4         3         7         10        10        2         10        9         
Aleksandra     Leonaviciute   9         3         6         9         10        6         10        7         5         4         1         3         7         10        8         9         
Robertas       Urbanavicius   1         6         5         1         9         9         10        9         5         9         4         3         9         7         7         6         
Deivydas       Sadauskas      5         7         5         6         10        9         4         1         4         5         9         3         4         8         8         5         
Tomas          Navickas       1         4         6         5         9         4         6         6         6         6         5         2         3         10        10        9         
Aleksandra     Jankauskaite   7         5         9         2         6         8         9         3         3         10        1         10        7         5         6         2         
Sandra         Leonaviciute   6         9         1         6         6         5         8         6         3         4         5         4         7         3         2         3         
Marius         Mazeika        4         1         3         10        1         8         9         9         7         3         1         9         1         3         8         6         
Arvydas        Mazeika        10        10        5         7         10        1         4         2         8         2         9         10        10        10        8         5         
Vita           Petrauskaite   5         9         1         7         10        6         4         10        9         6         4         3         1         4         7         5         
Ieva           Balciunaite    6         2         7         10        5         1         10        10        10        4         1         1         4         2         6         10        
Augustas       Mazeika        1         9         7         5         1         2         4         7         2         4         5         9         2         5         6         5         
Vita           Lukoseviciute  9         7         8         8         7         3         8         2         9         7         6         7         1         2         3         1         
Patricija      Vasiliauskaite 7         1         9         4         3         2         6         10        5         8         7         10        3         5         4         7         
Arvydas        Petrauskas     1         7         2         5         2         4         1         9         4         5         9         10        2         7         1         10        
Ieva           Balciunaite    5         3         5         2         7         10        6         2         6         7         2         7         2         2         5         9         
Sandra         Pociute        4         7         7         10        8         5         4         5         5         3         7         6         3         2         1         8         
Guoste         Vasiliauskaite 5         4         4         10        10        3         3         1         4         2         10        4         3         3         5         5         
Deivydas       Petrauskas     9         6         1         9         8         9         1         6         1         9         7         9         3         4         5         7         
Jokubas        Sadauskas      5         10        6         3         5         3         1         6         9         6         8         6         8         6         6         5         
Arnas          Mazeika        6         7         1         8         5         4         5         5         3         5         10        5         7         7         10        5         
Guoste         Kavaliauskaite 7         9         5         5         10        10        7         10        3         5         3         8         5         8         5         4         
Nojus          Butkus         3         9         6         6         6         7         7         3         3         9         3         6         9         6         2         1         
Karolina       Vasiliauskaite 3         6         6         2         3         5         5         10        4         8         6         5         10        10        7         3         
Aleksandra     Leonaviciute   10        1         4         10        5         1         2         7         5         2         2         10        6         8         8         4         
Smilte         Leonaviciute   5         2         9         4         6         5         4         7         1         6         10        1         3         6         4         6         
Jokubas        Kavaliauskas   3         9         4         10        9         4         3         4         9         7         6         2         10        3         7         10        
Karolina       Kavaliauskaite 4         9         8         8         5         10        1         6         4         2         1         10        8         2         4         7         
Marius         Kazlauskas     5         7         2         6         5         8         1         2         2         3         9         4         3         6         8         7         
Aleksandra     Jankauskaite   2         7         3         3         9         3         1         10        8         4         2         8         3         4         6         6         
Gija           Kavaliauskaite 10        9         3         9         8         8         8         10        7         10        3         8         10        3         7         10        
Tomas          Butkus         8         9         10        9         2         2         10        2         2         3         6         6         4         2         8         2         
Tomas          Adomaitis      6         6         3         2         6         6         3         7         6         5         9         9         10        3         3         3         
Deivydas       Sadauskas      4         3         3         3         10        6         2         8         2         6         1         6         3         8         1         1         
Smilte         Vasiliauskaite 4         2         8         2         9         6         4         5         3         5         8         3         7         4         2         7         
Patricija      Lukoseviciute  1         5         6         6         9         10        5         9         4         5         10        9         4         5         1         5         
Patricija      Butkute        9         9         8         1         3         9         1         2         3         8         2         9         4         5         2         2         
Liepa          Lukoseviciute  6         5         9         1         9         9         6         3         5         6         4         2         10        8         7         7         
Smilte         Pociute        3         3         7         4         4         8         4         6         2         5         5         6         6         3         10        2         
Jokubas        Kazlauskas     9         9         6         3         6         4         6         7         3         1         2         7         7         8         2         5         
Aleksandra     Leonaviciute   3         10        3         4         5         9         8         8         4         5         3         7         10        4         8         7         
Jokubas        Butkus         6         4         7         6         6         8         1         4         3         3         1         5         7         8         9         8         
Marius         Butkus         10        4         5         9         4         6         2         5         1         6         2         8         3         10        5         7         
Aleksandra     Jankauskaite   2         2         7         10        7         1         10        7         1         10        10        2         1         5         10        8         
Liepa          Vasiliauskaite 1         8         8         6         5         5         5         3         2         3         10        3         10        5         9         1         
Robertas       Sadauskas      9         10        10        2         6         1         4         8         6         3         2         2         10        5         4         8         
Liepa          Pociute        5         2         7         5         2         1         1         10        5         3         1         9         7         6         5         10        
Marius         Butkus         6         4         3         5         6         2         3         6         1         3         2         2         2         10        5         6         
Matas          Urbanavicius   9         1         4         6         9         10        3         9         2         7         8         3         4         7         2         6         
Vita           Vasiliauskaite 10        1         1         6         5         7         9         2         5         10        9         10        6         9         8         7         
Arvydas        Sadauskas      9         1         10        8         6         7         9         3         6         6         3         3         4         3         2         2         
Nojus          Navickas       8         8         9         7         5         10        5         3         4         4         2         8         1         2         6         9         
Gija           Leonaviciute   2         1         7         1         8         4         4         6         4         7         5         1         1         10        9         3         
Karolina       Vasiliauskaite 10        3         1         4         4         2         10        4         4         2         5         4         8         6         1         1         
Deivydas       Mazeika        3         8         8         3         3         4         3         9         2         10        3         9         2         6         7         3         
Aleksandra     Lukoseviciute  1         6         6         6         5         9         5         10        1         8         1         1         1         2         2         2         
Guoste         Balciunaite    8         3         10        2         5         2         9         4         4         5         1         4         5         4         9         3         
Matas          Sadauskas      5         6         8         9         2         4         5         4         8         10        2         7         2         2         5         2         
Patricija      Pociute        1         6         6         8         6         8         8         9         5         5         3         3         8         8         10        5         
Arvydas        Kavaliauskas   6         9         3         10        7         2         3         9         1         9         1         9         5         1         4         8         
Liepa          Kavaliauskaite 2         3         2         1         4         9         9         10        3         6         8         6         4         5         10        4         
Guoste         Balciunaite    1         1         10        9         1         10        2         9         10        3         5         6         2         9         8         10        
Vita           Balciunaite    9         3         4         7         10        1         6         7         2         1         3         7         2         5         2         10        
Tomas          Navickas       10        8         10        1         10        10        3         8         4         5         2         4         8         6         2         1         
Marius         Jankauskas     3         9         4         6         1         6         9         2         6         9         6         3         1         8         3         8         
Sandra         Lukoseviciute  5         3         8         2         4         7         1         5         8         3         8         10        7         1         5         3         
Aleksandra     Jankauskaite   2         6         2         6         7         4         10        8         6         2         6         6         3         1         9         3         
Deivydas       Sadauskas      4         2         4         4         10        9         8         10        10        9         4         7         10        2         10        6         
Arvydas        Sadauskas      5         2         2         10        5         7         6         5         3         2         3         5         3         7         10        10        
Ieva           Jankauskaite   1         8         2         1         9         10        4         6         1         2         4         9         6         8         1         9         
Liepa          Pociute        7         6         3         3         4         6         1         9         3         1         1         6         6         8         8         3         
Robertas       Adomaitis      4         9         9         8         4         10        10        3         5         10        10        8         5         5         7         7         
Karolina       Lukoseviciute  5         2         2         1         7         10        10        3         8         2         10        7         4         10        4         8         
Gija           Vasiliauskaite 4         2         3         3         6         5         7         8         8         8         1         8         7         1         4         2         
Patricija      Butkute        7         7         10        5         4         8         6         9         9         5         8         7         10        8         9         5         
Augustas       Jankauskas     5         8         10        7         2         5         5         7         8         10        2         6         5         8         9         1         
Vita           Petrauskaite   7         2         1         7         4         9         1         3         6         9         3         9         3         5         10        8         
Karolina       Pociute        1         3         2         7         10        8         8         3         2         7         3         1         2         7         10        9         
Robertas       Navickas       4         8         2         8         4         6         6         8         2         8         10        1         6         5         4         9         
Marius         Adomaitis      5         9         10        1         3         6         3         5         4         8         7         7         8         5         7         5         
Aleksandra     Petrauskaite   5         8         3         3         7         5         9         3         4         3         9         8         10        5         5         5         
Aleksandra     Leonaviciute   5         5         4         1         5         3         7         4         4         5         9         7         5         2         7         10        
Nojus          Adomaitis      10        6         7         2         9         5         8         7         8         8         10        3         3         4         3         10        
Matas          Sadauskas      9         1         10        10        2         6         5         5         10        2         3         4         9         6         6         1         
Tomas          Urbanavicius   4         8         5         4         8         1         8         10        5         4         3         3         2         10        10        4         
Patricija      Butkute        7         9         8         6         2         6         8         8         3         9         10        8         9         6         9         7         
Liepa          Butkute        3         7         7         8         9         9         5         10        8         3         9         4         8         6         2         9         
Jokubas        Kavaliauskas   9         5         6         8         3         5         9         6         9         5         4         1         4         6         5         9         
Augustas       Petrauskas     1         5         3         4         3         5         5         2         7         1         4         2         9         7         8         3         
Jokubas        Petrauskas     7         3         5         5         2         7         9         4         1         3         6         6         7         2         5         4         
Matas          Navickas       7         8         5         7         8         4         10        7         2         7         3         6         7         9         10        2         
Guoste         Balciunaite    2         6         10        2         6         2         5         5         8         6         10        3         6         9         7         6         
Tomas          Kazlauskas     3         7         6         7         6         4         7         5         5         6         10        2         10        3         2         9         
Ieva           Jankauskaite   10        3         2         6         6         8         10        2         5         2         5         10        4         4         9         2         
Tomas          Adomaitis      7         8         3         3         8         6         1         4         2         6         7         7         8         3         2         8         
Augustas       Sadauskas      5         9         5         1         9         8         10        9         2         7         8         4         8         1         1         10        
Patricija      Petrauskaite   7         4         9         6         5         5         2         5         5         3         6         10        6         9         2         10        
Jokubas        Urbanavicius   7         8         10        3         9         7         5         4         1         8         5         6         8         10        7         9         
Marius         Urbanavicius   3         10        8         9         4         5         9         4         2         4         7         7         1         1         5         1         
Aleksandra     Vasiliauskaite 5         4         3         9         6         10        4         1         9         3         2         2         1         3         10        3         
Gija           Leonaviciute   4         4         8         8         5         6         2         9         8         1         5         10        9         2         9         5         
Robertas       Kavaliauskas   3         8         7         7         8         1         8         6         2         4         3         10        5         5         2         9         
Smilte         Pociute        4         8         3         9         5         6         2         5         3         3         5         7         3         10        3         9         
Arvydas        Kazlauskas     5         10        3         8         4         1         3         1         7         2         3         7         4         7         7         1         
Liepa          Leonaviciute   1         8         9         2         1         3         10        4         8         10        10        6         7         6         10        6         
Nojus          Petrauskas     6         4         1         4         6         3         4         2         4         10        10        10        9         7         7         3         
Augustas       Petrauskas     9         3         7         3         3         9         7         9         3         3         8         6         2         7         5         2         
Smilte         Pociute        3         6         2         5         3         6         6         2         9         8         6         5         6         10        7         4         
Marius         Kazlauskas     10        8         4         4         5         10        8         5         2         2         7         9         3         9         2         10        
Sandra         Balciunaite    5         9         9         4         8         4         10        8         7         1         2         9         5         7         9         8         
Nojus          Jankauskas     5         2         6         3         10        9         7         9         9         6         6         1         3         10        7         10        
Liepa          Lukoseviciute  1         10        6         2         4         9         9         8         7         7         9         8         6         2         7         3         
Aleksandra     Butkute        7         4         2         10        6         6         4         9         10        4         3         2         4         7         2         5         
Deivydas       Urbanavicius   6         9         3         1         7         2         4         9         7         4         8         3         9         10        10        10        
Marius         Urbanavicius   2         6         2         9         6         7         5         8         4         8         5         10        9         7         1         7         
Augustas       Mazeika        8         2         6         7         1         9         5         8         9         10        2         3         1         2         9         8         
Augustas       Adomaitis      3         5         3         5         2         10        7         10        9         7         1         7         3         1         3         8         
Tomas          Mazeika        1         10        10        7         1         1         3         5         1         1         2         4         1         7         5         9         
Vita           Balciunaite    7         4         5         8         6         4         1         9         3         3         6         9         3         9         3         3         
Arvydas        Urbanavicius   9         4         3         9         5         5         7         9         2         7         7         5         8         8         5         4         
Aleksandra     Kazlauskaite   9         4         3         10        3         1         7         1         10        6         5         1         9         1         7         10        
Augustas       Petrauskas     3         8         4         2         2         3         5         8         4         8         1         3         8         7         10        2         
Arnas          Butkus         7         3         8         5         10        8         8         3         9         8         3         5         1         1         10        4         
Tomas          Jankauskas     9         6         2         9         6         1         9         3         3         1         2         3         4         9         1         3         
Matas          Mazeika        3         10        1         6         5         10        5         1         7         2         1         2         6         4         2         3         
Arvydas        Urbanavicius   1         1         8         6         6         4         10        6         8         8         1         9         5         8         10        8         
Smilte         Leonaviciute   7         10        5         10        9         5         4         3         7         4         8         10        5         9         3         10        
Robertas       Butkus         4         7         5         10        1         9         1         9         10        3         3         9         8         6         5         2         
Augustas       Sadauskas      2         8         3         8         10        6         10        3         3         2         1         6         7         6         1         3         
Deivydas       Navickas       2         7         6         3         8         5         2         5         9         9         5         7         9         6         3         3         
Robertas       Butkus         2         9         9         2         2         2         5         2         4         8         8         1         8         8         6         8         
Nojus          Kazlauskas     4         4         4         4         5         6         2         4         6         6         1         4         8         8         7         7         
Gija           Pociute        1         5         8         5         3         6         8         2         9         9         4         7         2         8         9         10        
Aleksandra     Petrauskaite   2         4         2         3         8         9         7         5         8         10        3         1         6         6         5         1         
Karolina       Jankauskaite   7         1         8         3         3         10        6         1         9         3         6         1         6         9         6         4         
Robertas       Jankauskas     4         4         2         4         7         5         2         6         3         5         2         7         3         8         8         10        
Marius         Sadauskas      4         9         2         5         10        2         1         6         6         6         2         3         3         6         4         7         
Patricija      Jankauskaite   8         5         1         9         8         9         10        2         7         5         3         2         3         1         2         1         
Patricija      Jankauskaite   8         6         2         8         7         3         2         9         6         6         7         1         8         10        5         7         
Jokubas        Jankauskas     6         4         2         5         7         2         10        5         3         3         8         2         1         8         6         7         
Karolina       Balciunaite    3         10        4         8         7         10        6         10        2         8         6         3         7         9         1         6         
Liepa          Kazlauskaite   3         2         6         1         5         8         4         6         8         9         1         1         2         10        5         5         
Arnas          Kazlauskas     8         7         8         2         3         7         7         9         6         2         7         4         8         1         9         10        
Smilte         Pociute        3         5         2         5         8         7         1         2         4         5         6         5         7         9         10        6         
Matas          Butkus         10        7         2         1         2         7         10        10        1         4         7         9         2         10        10        8         
Ieva           Butkute        3         8         2         10        8         3         1         7         2         10        7         7         8         10        9         3         
Robertas       Navickas       6         7         8         9         9         2         5         4         7         10        6         6         7         8         6         9         
Deivydas       Mazeika        1         7         5         3         1         4         10        3         9         10        4         4         10        8         5         9         
