Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Liepa          Petrauskaite   8         5         10        2         3         3         6         3         3         6         2         9         8         4         5         10        
Patricija      Balciunaite    9         3         4         9         9         2         2         5         8         3         2         1         3         6         7         4         
Arnas          Mazeika        6         8         8         8         5         6         2         5         2         8         4         7         3         7         2         7         
Marius         Urbanavicius   9         3         7         2         10        9         6         9         5         6         10        8         1         7         10        1         
Marius         Mazeika        4         7         8         3         10        3         6         7         5         3         7         3         4         7         3         9         
Liepa          Vasiliauskaite 2         8         5         5         9         9         7         10        1         5         1         5         2         10        4         1         
Sandra         Vasiliauskaite 4         4         1         8         2         7         10        2         8         3         9         10        2         10        9         4         
Arnas          Butkus         7         7         4         2         8         9         6         7         5         5         7         10        1         9         1         7         
Patricija      Lukoseviciute  4         6         1         6         9         3         6         8         7         10        6         2         9         1         8         1         
Arnas          Jankauskas     9         6         10        4         7         7         9         9         5         5         3         3         8         4         9         5         
Tomas          Kazlauskas     7         1         6         5         7         6         10        10        2         9         7         7         2         7         8         6         
Sandra         Petrauskaite   8         3         6         10        2         6         6         2         6         3         1         10        6         7         10        9         
Robertas       Mazeika        3         10        5         7         6         2         10        5         9         8         2         1         1         8         5         7         
Matas          Petrauskas     7         4         3         3         4         9         7         4         6         1         10        7         2         8         7         5         
Smilte         Lukoseviciute  6         10        9         2         7         2         6         4         10        7         7         9         4         8         9         6         
Tomas          Urbanavicius   2         3         5         2         2         7         5         4         7         2         3         7         8         8         6         8         
Gija           Leonaviciute   7         3         4         7         10        7         8         9         10        3         7         1         5         4         2         1         
Matas          Kavaliauskas   1         7         8         3         4         6         1         3         1         8         8         2         8         5         7         7         
Liepa          Leonaviciute   10        7         2         6         2         7         7         2         7         8         4         10        10        5         6         2         
Arnas          Jankauskas     6         6         2         1         10        10        4         3         7         8         1         8         5         10        9         7         
Matas          Mazeika        7         10        1         2         8         5         1         5         10        9         10        5         10        9         8         7         
Arnas          Urbanavicius   7         6         1         1         1         3         2         2         1         7         2         4         5         10        1         8         
Karolina       Petrauskaite   7         9         1         3         4         2         1         6         5         7         6         2         5         4         8         1         
Liepa          Vasiliauskaite 8         6         7         7         3         3         5         5         1         2         10        8         3         1         8         6         
Patricija      Kazlauskaite   2         7         1         1         6         5         5         2         5         5         2         1         9         4         10        4         
Vita           Vasiliauskaite 9         4         9         10        9         9         2         2         3         3         7         6         7         3         1         8         
Karolina       Kavaliauskaite 10        8         10        7         4         3         7         4         6         2         4         6         8         3         1         1         
Deivydas       Adomaitis      5         5         6         3         8         4         7         4         6         6         1         7         10        4         6         2         
Augustas       Sadauskas      5         9         2         4         4         3         9         6         3         8         5         6         5         8         4         5         
Tomas          Kavaliauskas   2         3         7         8         3         10        4         6         9         10        1         8         4         7         7         8         
Tomas          Mazeika        5         10        1         5         8         5         9         1         1         7         7         4         1         9         4         9         
Sandra         Kazlauskaite   9         2         1         1         7         8         7         3         2         2         3         7         4         9         5         9         
Marius         Kazlauskas     1         5         10        10        6         3         4         8         1         5         6         2         6         9         8         5         
Marius         Adomaitis      5         4         7         4         2         9         4         4         10        10        9         6         10        9         10        6         
Matas          Kazlauskas     7         10        6         6         6         8         2         10        1         9         8         4         1         9         5         8         
Robertas       Urbanavicius   7         2         2         4         9         10        10        6         1         2         3         6         7         5         6         7         
Gija           Jankauskaite   10        10        9         8         7         1         2         8         1         8         8         5         2         5         9         9         
Guoste         Petrauskaite   6         8         3         7         9         8         7         10        5         8         2         7         5         10        10        9         
Arvydas        Kazlauskas     3         8         2         1         9         4         8         1         4         6         9         4         5         8         6         2         
Guoste         Kavaliauskaite 6         4         6         8         9         4         8         1         6         10        6         10        10        6         4         2         
Patricija      Balciunaite    3         1         7         9         3         10        7         7         9         8         2         5         6         10        1         8         
Aleksandra     Kazlauskaite   4         8         6         1         1         5         8         4         7         7         3         10        5         1         2         8         
Arvydas        Jankauskas     1         2         1         8         6         7         2         5         5         6         1         5         7         2         7         8         
Ieva           Butkute        1         1         6         1         8         3         6         6         4         5         8         10        5         7         10        8         
Nojus          Adomaitis      3         5         9         7         5         5         2         9         5         10        1         2         6         2         5         8         
Sandra         Pociute        1         1         2         9         1         9         6         9         4         5         1         4         9         8         2         8         
Liepa          Kavaliauskaite 8         3         7         10        2         7         8         1         7         6         6         2         4         4         5         5         
Gija           Petrauskaite   1         4         3         10        9         3         5         6         4         6         1         7         9         10        1         5         
Aleksandra     Lukoseviciute  2         1         3         1         5         4         3         1         5         9         10        7         7         1         2         10        
Arvydas        Mazeika        1         9         1         9         3         3         4         8         3         8         5         10        9         9         8         9         
Nojus          Navickas       5         7         6         3         9         2         9         4         6         3         2         7         10        6         5         2         
Arvydas        Kazlauskas     10        6         1         5         3         7         2         10        5         4         5         3         10        6         6         2         
Nojus          Jankauskas     5         5         10        3         8         1         7         9         4         9         7         6         9         2         8         10        
Smilte         Kazlauskaite   7         10        10        3         4         10        7         6         1         3         4         9         4         3         6         6         
Marius         Petrauskas     3         3         2         3         4         7         1         10        3         7         2         1         1         5         7         4         
Smilte         Pociute        5         9         8         6         6         2         8         8         4         7         8         4         1         1         10        1         
Augustas       Butkus         1         7         8         2         3         4         1         5         9         5         7         7         10        4         6         10        
Patricija      Kavaliauskaite 8         3         6         1         7         8         5         5         1         1         8         3         7         2         3         1         
Arnas          Urbanavicius   9         5         5         6         6         3         5         4         6         6         7         3         2         7         6         9         
Aleksandra     Petrauskaite   8         8         10        6         1         1         10        9         10        8         7         4         6         10        2         6         
Matas          Navickas       9         3         1         9         2         6         1         2         10        6         9         5         5         6         6         3         
Patricija      Kavaliauskaite 2         1         9         9         6         5         6         4         1         6         5         3         5         1         2         5         
Patricija      Petrauskaite   7         2         6         5         6         9         9         8         9         1         1         10        1         6         9         5         
Nojus          Jankauskas     5         5         7         2         4         1         9         4         1         6         6         5         1         10        4         2         
Deivydas       Navickas       2         3         10        1         3         6         1         10        7         4         3         9         7         3         4         7         
Arnas          Kavaliauskas   8         10        5         5         4         6         10        4         8         5         4         9         2         3         5         5         
Arnas          Urbanavicius   10        4         3         1         4         5         7         1         7         2         1         7         7         3         7         5         
Guoste         Butkute        10        6         10        9         1         10        2         3         6         6         9         9         7         5         5         5         
Ieva           Jankauskaite   9         9         4         5         5         1         4         5         9         3         9         9         7         5         6         3         
Jokubas        Petrauskas     4         4         3         4         8         5         3         10        8         7         9         9         7         5         3         10        
Liepa          Kavaliauskaite 4         5         4         3         3         1         7         6         3         5         2         6         8         7         6         5         
Patricija      Butkute        4         9         1         2         2         5         7         10        5         9         10        4         8         5         2         2         
Marius         Navickas       5         7         9         3         8         6         9         6         6         10        7         6         9         2         5         9         
Nojus          Urbanavicius   5         9         7         6         2         8         4         10        3         1         1         5         5         4         8         2         
Guoste         Jankauskaite   9         3         2         9         2         8         7         5         4         2         10        10        7         5         2         1         
Arvydas        Butkus         6         1         5         1         3         6         1         1         4         5         10        6         7         10        7         2         
Patricija      Vasiliauskaite 6         10        8         7         9         5         6         2         2         5         10        8         3         4         10        4         
Sandra         Kazlauskaite   4         2         7         6         9         5         9         3         8         10        7         8         5         9         1         5         
Guoste         Jankauskaite   7         10        4         4         8         6         4         8         8         3         9         4         3         10        7         6         
Vita           Balciunaite    9         10        7         3         2         1         2         8         1         8         8         6         4         9         5         6         
Sandra         Petrauskaite   7         2         10        1         3         6         6         2         2         7         5         9         6         5         9         8         
Sandra         Balciunaite    5         2         5         6         2         5         7         6         4         10        9         3         1         5         2         8         
Deivydas       Petrauskas     9         2         9         1         7         3         9         8         7         2         3         8         3         2         8         5         
Robertas       Kazlauskas     4         6         4         1         7         3         10        3         8         8         6         7         7         2         1         10        
Ieva           Lukoseviciute  9         1         4         10        6         8         10        2         10        9         5         1         1         2         6         1         
Guoste         Butkute        7         1         3         10        7         1         8         3         10        5         6         1         3         8         5         8         
Aleksandra     Pociute        7         7         1         3         10        1         8         3         6         8         4         6         9         7         10        1         
Gija           Vasiliauskaite 6         1         8         10        5         9         7         10        7         10        10        5         10        1         6         2         
Deivydas       Butkus         4         9         9         7         8         9         6         1         3         3         9         9         9         9         8         2         
Tomas          Navickas       1         5         3         10        9         4         10        5         8         7         6         6         9         10        5         1         
Patricija      Pociute        3         8         6         4         6         8         7         2         2         1         8         7         6         7         6         4         
Aleksandra     Vasiliauskaite 5         4         2         7         6         1         6         1         2         2         8         10        7         4         7         10        
Sandra         Balciunaite    4         3         4         2         3         5         3         6         4         6         9         1         10        7         3         5         
Marius         Kavaliauskas   5         3         4         9         1         7         1         1         9         9         9         2         10        10        9         5         
Jokubas        Jankauskas     4         10        8         1         10        4         5         8         9         2         7         4         9         1         6         4         
Gija           Petrauskaite   3         7         7         5         6         8         5         5         9         6         9         10        4         1         4         6         
Ieva           Kavaliauskaite 3         4         5         10        7         9         7         3         1         6         5         10        3         5         6         3         
Robertas       Kazlauskas     6         9         7         7         2         2         10        9         2         2         8         4         1         6         2         8         
Marius         Kavaliauskas   5         8         7         6         3         3         1         3         4         8         3         7         5         8         4         3         
Karolina       Butkute        10        2         6         3         10        9         9         9         7         7         4         9         1         8         7         9         
Karolina       Balciunaite    5         3         1         10        5         2         7         2         4         2         7         6         5         6         8         5         
Aleksandra     Vasiliauskaite 10        4         3         6         4         7         1         10        6         8         10        4         8         1         3         4         
Nojus          Petrauskas     7         1         3         1         10        7         6         9         8         4         10        9         4         5         3         5         
Jokubas        Navickas       10        9         8         8         4         10        3         8         6         8         10        8         8         1         7         3         
Patricija      Kazlauskaite   7         7         4         9         9         6         6         4         4         1         3         1         5         4         7         4         
Arvydas        Mazeika        4         2         2         10        4         9         7         6         7         5         8         7         2         9         3         8         
Vita           Kazlauskaite   4         2         4         3         6         6         3         8         9         5         2         3         1         4         2         2         
Deivydas       Butkus         6         3         2         6         9         5         3         6         7         9         6         2         8         4         1         1         
Arnas          Navickas       2         2         2         4         6         7         1         6         7         2         2         5         2         5         8         1         
Nojus          Navickas       8         5         6         2         1         5         3         5         7         4         10        4         9         1         4         3         
Ieva           Petrauskaite   2         1         1         9         6         1         2         4         1         1         2         4         3         6         1         4         
Patricija      Vasiliauskaite 10        7         7         2         10        4         8         6         8         5         2         6         6         1         1         5         
Arnas          Kazlauskas     2         5         10        7         1         4         10        8         10        1         6         4         9         1         8         2         
Vita           Butkute        9         8         2         1         10        8         9         6         3         2         9         1         10        3         1         1         
Aleksandra     Lukoseviciute  5         1         5         3         5         10        10        4         7         2         10        6         3         6         7         4         
Ieva           Lukoseviciute  5         6         5         8         1         7         9         7         10        7         1         9         9         9         8         3         
Vita           Kavaliauskaite 2         3         5         3         3         7         10        2         4         10        7         7         8         6         1         8         
Arnas          Navickas       7         5         6         7         7         8         10        9         2         4         1         8         6         7         1         3         
Vita           Lukoseviciute  1         2         8         7         5         2         2         1         5         6         7         10        9         7         4         7         
Jokubas        Urbanavicius   5         7         4         1         3         2         2         7         10        7         3         4         2         6         7         1         
Marius         Butkus         7         2         1         4         9         8         4         6         6         5         7         7         6         2         5         6         
Robertas       Urbanavicius   7         8         10        3         1         4         2         9         8         8         6         10        1         9         1         7         
Matas          Mazeika        3         3         8         10        8         7         5         9         2         5         10        9         10        2         3         5         
Nojus          Mazeika        3         7         5         4         2         4         10        7         5         3         2         1         4         7         2         9         
Karolina       Butkute        7         2         10        2         10        6         4         8         3         9         7         10        2         2         1         8         
Aleksandra     Kavaliauskaite 8         2         2         6         8         10        2         6         10        7         8         7         6         6         9         1         
Vita           Butkute        5         6         5         10        9         7         6         5         4         5         6         9         10        8         3         8         
Nojus          Kavaliauskas   6         5         1         9         8         8         3         5         4         6         6         5         6         8         9         3         
Aleksandra     Pociute        5         1         7         3         2         2         1         4         1         3         3         2         6         9         10        1         
Smilte         Butkute        1         3         7         7         5         10        3         9         8         5         9         1         9         10        4         3         
Tomas          Mazeika        4         1         8         10        8         4         5         6         3         7         6         9         2         2         4         5         
Liepa          Balciunaite    1         4         10        8         5         9         7         6         3         5         8         4         4         5         7         2         
Marius         Mazeika        1         3         1         8         3         7         10        3         6         2         10        6         5         8         1         8         
Arvydas        Mazeika        6         7         6         2         7         7         4         10        10        4         10        5         5         3         9         2         
Liepa          Lukoseviciute  4         9         9         6         9         6         3         1         1         5         8         5         5         7         3         6         
Augustas       Kavaliauskas   7         1         1         5         2         9         10        10        2         7         3         4         4         8         1         5         
Sandra         Balciunaite    1         3         8         1         6         5         1         5         5         1         10        1         3         6         10        7         
Tomas          Navickas       2         9         6         8         8         6         8         8         2         3         8         3         1         2         10        6         
Arnas          Kazlauskas     2         5         8         10        7         1         5         5         5         2         3         5         6         4         2         3         
Deivydas       Navickas       4         6         5         8         10        8         8         4         8         10        8         4         7         9         4         1         
Jokubas        Adomaitis      10        4         4         4         10        4         9         3         1         5         9         3         6         4         4         7         
Karolina       Jankauskaite   8         6         9         1         5         9         9         2         5         10        1         8         5         5         2         4         
Guoste         Vasiliauskaite 1         9         9         10        6         4         2         3         7         1         9         3         5         8         1         9         
Arvydas        Adomaitis      5         9         4         3         10        2         7         8         8         8         8         4         10        8         9         9         
Jokubas        Navickas       2         9         2         4         9         7         7         7         1         7         8         4         1         4         1         8         
Gija           Butkute        1         8         8         1         5         7         3         2         10        10        2         1         7         2         10        3         
Aleksandra     Kazlauskaite   3         10        9         8         10        4         3         8         10        3         9         5         6         8         6         1         
Marius         Butkus         1         9         5         2         8         4         3         10        4         4         6         9         7         3         7         1         
Ieva           Petrauskaite   10        5         4         6         2         9         8         3         6         9         10        10        5         5         8         3         
Jokubas        Adomaitis      7         4         5         10        7         9         2         9         7         4         10        5         10        1         1         7         
Nojus          Jankauskas     10        9         2         4         3         8         4         1         10        3         9         10        3         10        8         6         
Robertas       Navickas       7         8         7         3         6         8         1         1         10        6         8         10        4         9         4         7         
Liepa          Vasiliauskaite 4         7         5         2         6         4         5         4         10        8         9         6         9         8         8         6         
Liepa          Leonaviciute   8         2         6         6         3         3         2         10        7         2         7         9         3         3         9         3         
Vita           Vasiliauskaite 2         4         6         1         3         8         4         9         6         1         8         10        5         2         7         7         
Arvydas        Sadauskas      4         1         5         4         7         9         5         6         7         3         8         5         8         7         4         10        
Smilte         Kavaliauskaite 7         9         5         9         2         4         9         4         2         5         5         4         9         4         10        5         
Smilte         Pociute        9         2         3         1         4         5         5         5         8         5         9         5         3         7         6         10        
Robertas       Kavaliauskas   6         3         6         8         8         10        4         2         2         2         8         1         9         7         9         1         
Marius         Adomaitis      1         4         5         8         2         6         5         8         1         1         10        6         5         6         9         2         
Deivydas       Jankauskas     6         2         7         1         4         2         2         8         8         6         9         7         3         6         6         10        
Nojus          Petrauskas     10        2         6         3         9         2         3         2         7         1         4         10        2         7         2         1         
Matas          Petrauskas     3         5         10        10        4         8         9         9         9         9         3         6         8         7         9         8         
Jokubas        Sadauskas      2         5         7         3         7         3         3         8         6         3         10        10        8         3         5         8         
Arvydas        Kazlauskas     9         4         8         1         5         5         9         1         10        7         1         8         1         4         6         10        
Patricija      Lukoseviciute  4         2         8         1         3         1         3         6         7         2         9         10        2         1         1         3         
Smilte         Butkute        8         9         8         7         7         10        4         9         1         8         8         3         5         9         10        2         
Liepa          Pociute        8         9         9         2         10        7         8         1         6         4         2         4         10        5         6         7         
Vita           Lukoseviciute  1         3         10        8         9         8         3         2         6         5         2         3         5         9         2         8         
Vita           Leonaviciute   9         8         10        6         10        6         3         1         9         9         9         8         2         10        10        6         
Deivydas       Sadauskas      5         6         8         7         3         7         5         1         9         5         8         5         8         4         9         9         
Gija           Vasiliauskaite 7         3         9         8         2         5         6         10        1         3         5         3         7         6         5         2         
Guoste         Kazlauskaite   5         2         7         1         8         6         8         9         9         5         6         6         7         10        3         10        
Augustas       Jankauskas     2         6         7         7         5         4         8         10        6         4         6         9         8         6         9         8         
Matas          Navickas       3         2         10        5         2         10        5         10        3         3         6         10        6         4         10        8         
Deivydas       Kazlauskas     10        5         6         6         7         4         7         6         4         6         10        4         9         6         5         6         
Arnas          Kazlauskas     9         10        10        9         5         2         3         5         5         9         5         4         10        1         7         8         
Aleksandra     Jankauskaite   4         3         2         2         9         10        10        2         2         5         3         2         1         8         9         6         
Matas          Navickas       9         8         10        6         10        4         7         9         1         3         2         10        10        9         5         1         
Gija           Pociute        1         8         6         1         9         2         9         10        9         3         6         9         6         10        8         10        
Augustas       Mazeika        7         6         4         8         4         7         3         2         9         3         4         9         1         2         7         10        
Aleksandra     Balciunaite    1         2         1         2         5         9         6         4         6         9         8         5         5         3         4         2         
Smilte         Petrauskaite   6         8         3         7         9         9         7         1         6         3         5         2         8         2         6         5         
Tomas          Urbanavicius   1         6         3         1         7         6         10        4         7         5         8         4         3         10        5         2         
Nojus          Adomaitis      8         3         7         7         7         3         4         5         7         7         6         6         4         8         5         8         
Arnas          Kavaliauskas   8         4         1         9         2         8         6         8         7         3         2         1         1         9         6         4         
Tomas          Jankauskas     6         9         4         1         4         1         10        3         1         3         2         2         7         1         7         5         
Nojus          Kavaliauskas   9         1         2         3         5         1         3         10        7         4         2         1         4         3         7         3         
Marius         Sadauskas      5         3         8         3         5         1         10        2         9         7         9         7         5         6         4         1         
Patricija      Lukoseviciute  5         3         3         1         7         6         1         6         9         9         5         8         7         1         6         8         
Vita           Kavaliauskaite 2         3         5         7         5         2         1         5         1         4         6         6         2         10        4         10        
Deivydas       Jankauskas     5         9         2         6         1         10        4         3         4         6         7         9         4         2         8         7         
Marius         Urbanavicius   6         4         2         8         3         8         4         1         7         7         5         4         2         4         2         6         
Tomas          Urbanavicius   9         2         5         5         4         2         1         8         10        5         1         7         5         3         6         5         
Arvydas        Kavaliauskas   8         1         6         7         7         7         1         8         4         8         9         6         6         3         6         9         
Guoste         Kazlauskaite   5         6         6         7         3         2         2         8         9         9         6         6         4         4         2         5         
Nojus          Navickas       5         9         3         4         9         2         5         5         2         6         8         8         4         5         6         8         
Ieva           Kazlauskaite   2         7         10        3         8         9         1         6         3         10        10        6         6         5         6         5         
Tomas          Kavaliauskas   10        4         5         5         2         10        10        4         5         4         2         6         3         6         4         2         
